Crash_ID,Damaged_Property
17335007,GUARDRAIL
17335316,FENCE
17335394,WINDOW AND WALL
17335488,RAILROAD CROSSING SIGN
17335552,CONCRETE RAIL
17335597,FENCE
17335843,POLE PUSHED OUT OF GROUND
17335862,GUARDRAIL IN 200 BLOCK OF S. ADAMS SB
17335869,SPRINKLER
17335940,"SPEED LIMIT, SCHOOL ZONE SIGN"
17336009,UNKOWN SIGN
17336046,METAL/WOOD GUARDRAIL
17336116,COW WAS STRUCK AND LOST A HOOF.
17336122,BLACK BULL- EAR TAG 333K 0776
17336178,UTILITY POLE
17336216,METAL SIGN/POST
17336290,SCRATCH
17336290,SCRATCH
17336333,"TREE ESTIMATED DAMAGE AMOUNT $2,000"
17336357,POLE
17336366,UTILITY POLE
17336477,CABLE BARRIER
17336496,BLOCK TREE EDGING AND LANDSCAPE
17336576,DECORATIVE LIGHT POLE
17336637,LIGHT POLE (VALMONT 10-2018 TUE-1-40)
17336706,FENCE
17336743,CHAIN LINK FENCE
17336743,MAIL BOX
17336776,DAMAGED WIRE FENCE AT 303 W BITTERS RD.
17336788,EAST SIDE CONCRETE RETAINER WALL
17336812,GUIDELINE WIRE ANCHOR FOR POWER LINE
17336815,38 FEET OF GUARDRAIL DAMAGE
17336819,METAL CABLES
17336844,GREEN PLASTIC TRASH CAN
17336846,GUARD RAIL CABLES
17336887,PARK LANDSCAPING HEAVILY DAMAGED
17336888,STREET SIGN
17336894,CHAIN LINK FENCE
17336894,MAILBOX
17336928,GUARDRAIL
17336966,TREE
17336976,BUSHES
17336994,PARKED 10 FT TRAILER
17336994,MAIL BOX
17336994,GUARDRAIL
17337021,STOP SIGN
17337030,MAILBOX
17337031,SCRAPE TO ELECTIC SIGNAL POLE
17337045,APPROXIMATELY 30 FT OF GUARD RAIL DAMAGE
17337050,15 FT OF GUARDRAIL
17337136,LANDSCAPING
17337151,30MPH SPEED LIMIT SIGN
17337152,SQUARE TUBING GUARDRAIL
17337156,50 FT BARBED WIRE
17337206,CITY OF PLANO BIKE SIGN
17337273,MINOR PAINT DAMAGE TO METAL POLE
17337276,GAS METER
17337276,WOODEN PICKET FENCE
17337326,BRICK MAIL BOX AND LANDSCAPNG
17337326,STREET LIGHT
17337340,CONCRETE WALL
17337434,20 YARDS OF CENTER MEDIAN CABLE/POLES
17337467,CULVERT
17337475,"DESTROYED A 8"" DIAMETER CEDAR TREE"
17337528,FIFTY FEET OF GUARD RAIL
17337554,30 FEET OF WOODEN FENCE AND POSTS
17337556,CABLE BARRIER POST X 5
17337598,12 FT PIPE RAIL FENCE
17337598,"18 T POSTS, 180 FEET BARB WIRE"
17337604,BRIDGE PILLAR (NEW YORK AVE)
17337637,CENTER CONCRETE BARRIER
17337703,CABLE BARRIER
17337711,FENCE
17337715,MILE MARKER SIGN 432
17337781,"A TREE,BUSHES (VALUE OF DAMAGES $200.00"
17337796,MARKER POLE
17337841,CENTER WIRE RETAINER WALL
17337855,GUARD RAIL
17337910,FENCE
17337925,LANE INDICATOR SIGN
17337995,REGULATORY SIGNS
17338017,FRONT YARD GRASS
17338042,PARKED TRAILER
17338045,ELECTRONIC STREET CROSSING SIGN
17338058,METAL HANDRAIL/FENCE AND RETAINING WALL
17338059,GUARD RAIL
17338092,75' CABLE BARRIER AND LEGS
17338098,FREEWAY MEDIAN LANDSCAPING
17338136,TRAFFIC CONTROL BOX
17338217,GUARDRAIL
17338234,POWER POLE
17338243,WIRING FOR CITY POND PUMP
17338264,METAL GUARD RAIL/WOOD SUPPORT POST
17338279,WOODED FENCE
17338281,DAMAGED MAIL BOX
17338296,BARDWIRE FENCE AND 2 T POSTS
17338296,TELEPHONE POLE
17338298,FENCE AND POST
17338329,DELINEATOR POST
17338345,AT&T FIBER OPTIC POLE
17338362,BEND IN IRON FENCE SURROUNDING PROPERTY
17338371,DAMAGE TO SEVERAL CEDAR FENCE POSTS
17338393,40 FT BARBED WIRE FENCE
17338404,40 FEET RANCH FENCE KNOCKED DOWN
17338443,LIGHT POLE
17338483,MAIL BOX
17338495,BASKETBALL COURT POLE
17338508,CONCRETE BRIDGE RAILING
17338597,UP ROOTED SPEED LIMIT SIGN
17338597,TREE
17338601,LIGHT POLE
17338601,WROUGHT IRON FENCE
17338603,SIGN
17338637,TREE
17338658,FENCE
17338666,WOODEN UTILITY POLE
17338672,BIKE RACK
17338728,GARAGE DOOR
17338739,SHRUBS AND BUILDING
17338778,METAL WALL REFLECTOR
17338785,APROXIMATELY 40 YARDS OF GUARDRAIL
17338787,WATER METER/FIBERGLASS VALVE ENCLOSURE
17338851,BRICK MAIL BOX
17338858,BRICK MAIL BOX
17338921,SIGN
17338991,METAL POST WITH AFFIXED HIGHWAY SIGN
17338997,LIGHT POLE
17338999,"ONE FUEL PUMP, ONE PARK BLOCK"
17339004,CHAIN LINK FENCE
17339005,"GUARD RAIL DAMAGE, APPROX 50 FT"
17339023,CPS POLE TETHER (TORE FROM IMPACT)
17339048,WHITE FORD TAURUS TX LP# 31808A4
17339048,HIGHWAY GUARDRAIL
17339083,ELECTRIC FENE
17339083,ROAD SIGN
17339111,FENCE
17339130,MAILBOX & POST
17339133,WROUGHT IRON FENCE
17339135,WOODEN 3' GATE
17339135,15' SECTION OF CHAIN LINK FENCE DAMAGED
17339168,BUSH RIPPED OUT OF GROUND
17339168,WEIGHT BEARING PILLAR AND CARPORT BROKEN
17339170,BRICK FENCE
17339187,BARRIER AT I-10 E/W SPLIT FROM N/B 610
17339190,LIGHT POLE
17339190,CONCRETE CURB ON MEDIAN
17339205,FIRE HYDRANT
17339225,GUARD RAIL
17339238,MAIL BOX
17339247,DAMAGE TO SIGNAL LIGHT
17339272,CONCRETE WALL
17339293,TREE
17339319,MCDONALD' SPOLE  DAMAGE$3000.00)
17339359,CONCRETE K-RAIL
17339382,TRAFFIC LIGHT POLE
17339399,UTILITY POLE
17339410,ELCTRONIC ROADWAY ARROW BOARD
17339411,WATER PIPE PVC
17339430,"GRASS, TREE, BUSHES(PH#713-935-7100)"
17339461,WOODEN FENCE
17339461,GAS METER
17339461,WOODEN FENCE AND NATURAL GAS LINE
17339478,K & A ENTERPRISE STREET SIGN
17339478,BUS STOP SIGN
17339478,K & A ENTERPRISE METAL RAILING 8FT
17339498,WHITE BRICK PILLAR
17339510,CHAINLINK FENCING AND LINE POST 80 FT/ $
17339517,IRON FENCE AND THREE BUSHES
17339523,BRICK WALL ON BUILDING
17339536,WALL
17339560,FIRE HYDRANT
17339561,GAURD RAIL
17339610,LIGHT POLE
17339620,I BEAM DAMAGE TO THE NORTH SIDE I BEAM
17339620,ASPHALT DAMAGE: CUTS IN THE ASPAHLT
17339686,GARAGE DOORS OF BUILDING X 3
17339686,GRANITE PRODUCTS
17339700,TREE WAS DAMAGED ON THE PROPERTY OF 2071
17339705,GUY-WIRE UTILITY POLE
17339705,FENCE/GATES
17339705,METAL BARRICADE
17339706,TXDOT METAL BARRIER
17339737,TREE
17339737,FENCE
17339827,STREET SIGN
17339877,UTILITY POWERLINE POLE
17339918,RAILROAD TRAFFIC ARM BROKEN
17339923,STREET LAMP POLE # 576663
17340021,GUARDRAIL EASTBOUND 30 AT FERGUSON
17340035,STREET LIGHT POLE # 218860
17340079,POSSIBLE DAMAGE TO THE LIGHT POLE
17340101,10 FT ATTENUATOR
17340104,LIGHT POLE
17340121,LIGHT POLE
17340122,15 FT GUARDRAIL/ ELECTRICAL BOX
17340123,SPEED LIMIT SIGN
17340126,3 TIER VINYL FENCE
17340130,CENTER POINT METEL LIGHT POLE
17340132,DAMAGED WOODEN FENCE
17340149,FENCE
17340149,GAS METER
17340159,GUARDRAIL
17340184,"RESIDENTIAL DOOR DAMAGE, APT # 1109"
17340190,LIGHT POLE
17340191,DAMAGED SIGN
17340195,PAINT TRANSFER TO SECURITY POST
17340198,DAMAGED CHAINLINK FENCE WITH METAL POLES
17340199,MAILBOX CLUSTER
17340203,2X TREES
17340209,DAMAGED GUARDRAIL
17340211,DAMAGED AUTOMATIC GATE
17340227,ONCOR LIGHT POLE
17340261,EXTRUDER / CRASH PAD
17340277,"GUARDRAIL END CAP, APPROX 20FT OF RAIL"
17340279,GUARDRAIL
17340322,20 FEET OF GUARDRAIL AND 1 WOODED POST
17340328,TRAFFIC CONES/ METAL BEAMS
17340352,ELECTRIC POLE
17340355,"LIGHT POLE, AND A ENTRANCE SIGN"
17340361,ROCK WALL
17340366,GUARD RAIL
17340376,MAIL BOX POST
17340376,"MAIL BOX, 80 FT BARBWIRE, 10 POSTS"
17340380,WOOD LIGHT POLE
17340384,CEDAR TREE UPROOT X2
17340504,TREE IN HER FRONT YARD
17340540,BRICK WALL
17340540,CONCRETE PARKING LOT LIGHT POLE
17340573,UTILITY POLE
17340581,GUARDRAIL
17340589,DAMAGED SPEED LIMIT SIGN
17340624,BUSHES
17340638,FENCE / HOUSE
17340645,TELEPHONE POLES KNOCKED DOWN
17340666,DAMAGE TO LIGHT POLE #2375 378 8778
17340668,WHEEL AND TIRE ON A VERMEER RT1250 TRACT
17340669,DAMAGE TO 3 POLES IN CABLE BARRIER
17340679,DAMAGE TO THE GUIDE WIRES AND POSTS
17340683,ELECTRIC POLE
17340683,EXTERIOR SHED
17340704,DAMAGE TO STRUCTURE
17340718,CONCRET BARRIER AND CHAIN-LINK FENCE
17340727,GUARD RAIL
17340736,LIGHT POLE
17340748,BRICK MAILBOX
17340754,METAL FENCE & HEAD STONES
17340761,PALM TREE
17340763,FENCE/POLE
17340805,FUEL DISPENSER
17340878,"SCHOOL ZONE SIGN, SOLAR PANEL AND POSTS"
17340880,GUARD RAIL
17340881,RETAINING LANDSCAPE WALL
17340906,SCRAPED CONCRETE BARRIER
17340908,SUAVE DENTAL EXTERIOR WALL
17340912,UTILITY POLE
17340940,30 FEET OF GUARD RAIL
17340951,TRASH CAN HIT BY UNIT 1
17340951,RESIDENTIAL FENCE DAMAGE
17340963,30 FT CHAIN LINK FENCE
17340963,30 FT CHAIN LINK FENCE
17340963,30 FT CHAIN LINK FENCE
