Crash_ID,Damaged_Property
17034516,AWNING CONNECTED TO BUILDING DAMAGED
17034531,CHAIN LINK FENCE
17034567,METAL BARRIER
17034666,MAIL BOX
17034691,METAL STAIR RAILS
17034691,CROSSWALK POST
17034696,5 FT GUARD RAIL
17034711,18 FT OF PLASTIC 4 FT TALL FENCE
17034760,POWER LINE POLES
17034788,SIGN
17034834,IRON FENCE
17034854,7 FEET OF GUARDRAIL DAMAGE
17034855,ARROW SIGN
17034858,MAILBOX
17034870,TREE
17034922,SPEED LIMIT SIGN
17034937,WOOD FENCE
17034952,ELECTRIC POLE
17034959,KNOCKED DOWN EXIT SIGN ON HIGHWAY
17034970,EXPRESSWAY EXIT SIGN
17035048,"LIGHT POLE VALUED AT $2,500"
17035081,FIRE HYDRANT
17035090,TX DOT GUARD RAIL
17035187,BUILDING
17035202,WALL
17035224,WIRE MEDIUM ROAD DIVIDER & STEEL POLES
17035237,LIGHT POLE
17035245,TELEPHONE POLE
17035246,METAL STREETLIGHT POLE
17035275,DAMAGE TO GUARDRAIL
17035331,LIGHT FIXTURE CONDUIT POLE
17035342,CONCRETE CURB ON DRIVEWAY
17035354,FIRE HYDRANT
17035357,CHURCH SIGN
17035373,DAMAGED CONCRETE BARRIER
17035374,LANSCAPE
17035384,BLACK LIGHT POLE
17035408,GUARDRAIL AND STREET SIGN
17035414,DECORATIVE ESTATES/WALL SIGN
17035446,FENCE
17035464,TURNING LANE SIGN
17035476,CHAIN LINKED FENCE
17035504,DART BUS STOP SIGN #20742
17035507,ONCOR POLE WIRE DAMAGED
17035508,DART BUS STOP BENCH AND COVER.
17035555,CONCRETE CULVERT
17035564,SEWER CULVERT
17035581,GATE DAMAGED
17035587,DAMAGED OVERSIZED ORANGE FLOWERPOT
17035600,ROOF AND BRICK WALL
17035608,DAMAGED POWER POLE
17035608,DAMAGED FENCE
17035610,MAILBOXES WITH STAND
17035614,FENCE DAMAGE
17035637,METAL GAS STATION AWNING
17035659,VACUUM
17035667,TREE
17035670,DAMAGED GATE AND BUSH
17035672,STREET CAR POLE
17035673,METAL GATE
17035701,TRACTOR TIRE
17035701,MAIL BOX
17035736,CONSTRUCTION BARIER
17035743,TWO HIGHWAY SIGNS
17035757,YELLOW DIAMOND SIGN FOR LANE MERGE
17035757,5FT GAURD RAIL
17035792,HIT MAIL BOX
17035817,APPRX 20FT BARB WIRE FENCE
17035818,BREEZEWAY ATTATCHED TO BUILDING
17035821,BROKEN BUS BENCH & SIGN #58213
17035821,CRACKED UTILITY POLE #11571
17035828,GUARDRAIL
17035861,GUARD RAIL BENT INWARDS
17035872,GRASS AND TREE
17035882,DAMAGED GUARDRAIL
17035884,BUILDING WALL
17035888,YELLOW BARRICADE
17035898,TREE AND LANDSCAPE
17035898,LIGHT POLE
17035902,ENCORE ENERGY UTILITY POLE STRUCK
17036019,BROKEN CABLE BOX
17036019,"BROKEN MAILBOX, DAMAGED BUSHES"
17036024,CHAIN LINK FENCE
17036034,WRONG WAY SIGN
17036040,GUARDRAIL
17036057,15 FEET OF METAL LANE ATTENUATOR
17036059,STREET SIGN
17036059,WIRE FENCE AND DOG PARK EQUIPMENT
17036061,LIGHT POLE #3961209
17036068,LANDSCAPING STONES
17036068,TREE
17036112,CONCRETE BARRIER
17036159,GUARDRAIL DAMAGE (DENTED)
17036171,DOG
17036188,CONCRETE BARRIERS
17036200,TIRE TRACKS IN GRASS
17036200,TIRE TRACKS IN GRASS
17036220,CHAINLINK FENCE
17036220,LARGE TREE
17036221,STREET CURB/ STORM DRAIN
17036253,CONCRETE PEDESTRIAN BRIDGE OVER HIGHWAY
17036262,MAGIC VALLEY ELECTRIC POLE #36077 BROKEN
17036300,FENCE DAMAGED
17036300,FENCE DAMAGED
17036323,GUARDRAIL POST BROKEN
17036350,BUS STOP SIGN
17036351,BEDROOM
17036368,60 FEET OF PLASTIC RETAINER FENCE
17036368,20 FEET OF BARBED WIRE FENCE
17036393,LIGHT POLE DAMAGE
17036394,PHOTO ENFORCEMENT SIGN KNOCKED OVER
17036410,BARBED WIRE FENCE
17036415,LIGHT POLE
17036421,WALL AND FRONT DOOR GLASS
17036424,MEDIUM TREE
17036434,STREET LIGHT POLE
17036443,"BROKEN CONCRETE WALL SOUTH OF I-10, MM29"
17036496,DAMAGE TO TREE
17036512,MAIL BOX KNOCKED OVER
17036513,LIGHT POLE #39348103267967
17036522,DAMAGE TO SLED BARRIER AT EXIT
17036535,STONE MAILBOX
17036550,DAMAGE TO A STOP SIGN
17036563,STREET SIGN FOR 9400 DYER AND 5200 TIMES
17036630,DUMPSTERS
17036640,PARKING LOT BOLLARD
17036644,"GRAGAE STRUCTURE, HOLE FROM FLYING BRICK"
17036644,PARKED VEHCILE IN GARAGE
17036644,BRICK WALL / TREE / PRIVACY WOODEN FENCE
17036683,UTILITY POLE/TRANSFORMER DAMAGE
17036687,CROSSWALK SIGN
17036692,STREET SIGN POLE
17036725,BARRIER
17036743,CHAIN LINK FENCE AND TREE
17036745,GUARDRAIL
17036746,GUARDRAIL DAMAGE
17036748,CITY OF HOUSTON GUARD RAIL
17036760,DAMAGED STREET SIGN
17036764,ROCK WALL DAMAGE ($500.00)
17036765,STOP SIGN
17036765,FENCE
17036766,REAR BUMPER DAMAGE FROM DRIVER SIDE
17036779,"CITY PUBLIC SERVICE POLE, $10,000 DAMAGE"
17036789,DAMAGE TO MEDIAN
17036800,LAWN
17036821,UTILITIES POLE
17036834,80 FEET OF GUARD RAIL DAMAGE
17036844,"20 FT STEEL GUARDRAIL, 3 WOOD POSTS"
17036846,POLE
17036861,TRAILER HOME
17036862,FENCING AND LANDSCAPING
17036875,STREET SIGN -US 259 BUS N @ SHARON ST
17036880,FIRE HYDRANT
17036883,APATMENT FENCE
17036888,MINOR DAMAGE TO ELECTRICAL LINE AND TRIM
17036888,STRUCK CORNER OF THE HOUSE
17036899,ELECTRICAL POLE
17036902,POWER LINE POLE
17036913,20 FT CHAIN LINK FENCE
17036913,UTILITY POLE
17036960,CHAIN LINK FENCE
17036961,LIGHT POLE
17036965,SIGN 2
17036965,SIGN 1
17036977,WET CONCRETE ON ROADWAY
17036981,CONCRETE CULVERT
17037048,THREE CABLE BARRIER LINE POST DESTROYED
17037063,HIGHWAY OVER PASS SUPPORT PILLAR
17037083,GREEN LOCATION SIGN
17037165,TREE IMPACTED ON NE CORNER OF SCHOOL PAR
17037179,WALK/DONT WALK SIGN
17037182,CONCRETE BARRIER
17037191,METAL STREET LIGHT/LAMP POST
17037191,MAILBOX FOR 1017 HICKORY
17037285,TREE
17037330,1 GUARD RAIL POST
17037334,LIVESTOCK FENCE
17037336,MACARTHUR EXIT GUARDRAIL
17037348,YELLOW PLASTIC BARRIER
17037359,40' METAL FENCE AND METAL POSTS
17037360,TRAFFIC SIGNAL CONTROL BOX
17037362,TURF
17037362,FIRE HYDRANT
17037362,FENCE
17037407,ES WINDOW WALL SMASHED (806)206-3809
17037431,FENCING
17037432,SHRUBERY
17037435,WOODEN SIGN
17037435,TRAFFIC SIGNAL
17037456,METAL CULVERT
17037470,GUARD RAIL
17037470,SECURITY FENCE
17037488,METAL MAILBOX W/CONCRETE SUPPORT.
17037488,METAL MAILBOX W/CONCRETE SUPPORT.
17037537,PAINT TRANSFER ON GAURDRAIL
17037537,METAL SIGN
17037558,FENCE
17037558,FENCE
17037560,CONCRETE BARRICADE AT 7000 S U.S FWY 59
17037564,ROCK FENCE
17037571,BARBED WIRE FENCE
17037572,CATTLE PANELS
17037572,WOODEN FENCE
17037576,GUARDRAIL
17037617,CULVERT
17037627,AIR CONDITIONING UNIT AND WALL
17037683,CONCRETE GUARD RAIL
17037689,NONE
17037721,LIGHT POLE
17037728,POWER POLE
17037728,FENCE
17037732,GUARDRAIL
17037741,SWEPCO POLE 30994
17037749,RAILROAD CROSSING SIGN AND POLE
17037756,FIRE HYDRANT
17037789,FENCE
17037845,LIGHT POLE IN 5400 BLOCK OF W. PARK BLVD
17037845,TREE IN 5400 BLK OF W. PARK BLVD
17037873,FRONT WALL SMASHED IN
17037885,ROAD WAY CAUTION SIGN
17037895,FLASHING SOLAR BEACON SYSTEM
17037908,CONCRETE BARRIER
17037926,LIGHT POLE KNOCKED DOWN IN CENTER MEDIAN
17037937,WOODEN ELECTRICAL POLE
17037941,GUARD RAIL AND SIGN
17037945,SCUFF MARKS FROM VEHICLE
17037966,FIRE HYDRANT
17037983,PIPE FENCE
17037995,POLE
17038005,LIGHT POLE
17038008,TXDOT SIGN - ENNIS
17038008,BOULDER
17038008,TXDOT SIGN - 31 & 45 SIGN
17038009,MAIL BOX
17038018,PIPE FENCE / GATE
17038027,GUARD RAIL (BOTH NB AND SB SIDES)
17038044,"WOOD FENCE, BRICK WALL OF 2101 43RD ST"
17038067,SIGNAL POST FOR CROSSWALK
17038129,ELECTRIC ARROW BOARD
17038187,BRICK FENCE
17038254,SIGNAL LIGHT AHEAD SIGN
17038261,UTILITY POLE
17038265,DAMAGED GUARDRAIL
17038296,TXDOT SIGN KNOCKED OVER
17038296,TXDOT GUARD RAIL DAMAGED
17038322,LIGHT POLE
17038353,GUARDRAIL
17038357,AT&T PHONE PEDISTAL
17038400,TXDOT GAURDRAIL @ 2100 S US 81
17038405,PIPE FENCING
17038407,DAMAGED FENCE
17038407,DAMAGED ELECTRIC POLE
17038416,FENCE
17038422,FENCE POSTS
17038442,FENCE
17038442,MAIL BOX
17038444,DAMAGED FLASHING SCHOOL ZONE SIGN
17038450,BARBED WIRE FENCE
17038458,DAMAGED FENCE
17038462,CONCRETE BARRIER
17038463,CROSSWALK SIGN
17038470,POWER POLE
17038475,FIRE HYDRANT #846715
17038573,CRASH CUSHION
17038635,LARGE TREE
17038665,BRICK WALL
17038665,STOP SIGN
17038670,TREE/YARD DAMAGE 817 487 8451
17038720,WOODEN FENCE AROUND DUMPSTER
17038720,WOODEN FENCE RUN THROUGH WITH A PICKUP
17038722,YIELD SIGN
17038724,GUARD RAIL
17038725,CHAINLINK FENCE
17038792,PARKING OVERHANG DAMAGED
17038794,STREET SIGN AND POST
17038797,BARB WIRE FENCE
17038801,EASTEX PHONE BOX
17038806,CABLE BARRIER SYSTEM; 5 POSTS
17038869,BROKEN TREE
17038874,CONCRETE BARRIER
17038884,BRICK MAILBOX
17038888,GUARD RAIL; EXTRUDER TERMINAL
17038949,BRICK WALL STORE FRONT
17038957,BRICK MAIL BOX
17038962,"8"" ATTENUATOR DAMAGE"
17038977,YIELD SIGN
17039003,THREE 8 INCH TREES DESTROYED.
17039036,SLIPPERY WHEN WET STREET SIGN W/POST
17039047,WOODEN POWERLINE POLE MISSING CHUNKS
17039051,PAVEMENT
17039074,LIGHT POLE
17039076,CITY OF MCKINNEY STREET SIGN
17039087,CONCRETE BARRIER
17039139,CONTINUATOR
17039150,GUIDE WIRE ATTACHED TO TELEPHONE POLE
17039190,BENT FENCE- VALUED TO COST ~$1000.00
17039202,TELEPHONE POLE
17039287,CONCRETE BARRIVASE
17039302,15 FEET OF ATTENUATOR
17039349,"SHRUBS, TREE, GRASS, AND GAS METER"
17039349,CONCRETE CURB
17039358,TREES
17039378,POLE
17039378,HURRICANE FENCE
17039379,MEDIAN CURB
17039435,MAILBOX
17039444,CHAINLINK FENCE
17039451,HEB CART CORRAL- $1000. CART-$250
17039468,WALL
17039489,LIGHT POLE
17039494,DAMAGE TO TRAFFIC SIGNAL LIGHT POLE
17039500,CHAIN LINK FENSE
17039507,TRAFFIC SIGNAL LIGHT POLE
17039558,STEEL PIPE FENCE WITH FIELD FENCING
17039558,ROAD SIGN POST
17039570,30 FEET OF ANCHORLESS WATER BARRIER
17039576,TRAFFIC SAND BARRELS
17039587,GUARD RAIL
17039588,APPROXIMATELY 8 FEET OF BARB WIRE FENCE
17039594,STREET LIGHTS
17039623,PERSONAL RESIDENCE
17039631,BRICK MAILBOX
17039632,BRICK CARPORT
17039640,SECURITY GATE
17039655,TREE
17039680,APPROXIMATELY 150 FEET OF CABLE BARRIER
17039692,LIGHT POLE
17039697,TRAFFIC SIGNAL POLE
17039697,FIRE HYDRANT
17039714,"GUARD RAIL, SIGN"
17039724,TELEPHONE POST DAMAGE TO POST AND CORD
17039724,BARBED WIRE FENCE DAMAGE
17039765,TREE
17039818,COMMUNITY BANK OF TEXAS
17039839,"SHRUBS / TREES, PIPE GATE, LARGE SIGN"
17039851,100 FT OF FENCE
17039851,LIGHT POLE
17039851,TRAILER
17039924,BLOCK FENCE/BROKEN
17039924,BLOCK FENCE/BROKEN
17039963,HIGHWAY U TURN SIGN
17040241,STONE WALL ABOUT 10 FEET
17040267,SHARP CURVE SIGN
17040413,BARB WIRE FENCE
17040420,CULVERT REFLECTIVE MARKER POST
17040431,CHAIN LINK FENCE
17040449,CONCRETE CULVERT DRIVEWAY
17040453,CONCRETE EMBANKMENT
17040470,FENCE
17040501,FENCING
17040511,MAILBOX
17040524,GUARDRAIL
17040540,1308 W 12TH ST AUSTIN TX
17040558,SW CURBLINE CROSSWALK POLE
17040567,TRAFFIC LIGHT POLE
17040574,TELEPHONE POLE
17040601,WALL AND GLASS WINDOW
17040601,TWO NAIL SALON CHAIRS
17040615,STRUCK BRIDGE BARRIER
17040632,TELEPHONE POLE
17040632,PHONE BOX
17040639,TREES AND FENCE
17040642,LIGHT POLE
17040657,METAL GATE
17040677,IRON FENCE
17040706,BLACK COW
17040739,LIGHT POLE
17040759,GUADRAIL
17040767,FENCE
17040777,BARBED WIRE FENCE
17040802,STOP SIGN
17040808,GUARD RAIL
17040810,CABLE BARRIER
17040834,BARBWIRE FENCE
17040837,CHAIN LINK HIGH FENCE
17040841,WHITE BRICK MAIL BOX
17040841,WHITE BRICK MAIL BOX
17040859,DAMAGE TO MAILBOX AND ROCK LANDSCAPE
17040863,10FT OF METAL GUARD RAIL
17040886,GUARD RAIL
17040894,TELECOMMUNICATIONS PEDESTAL
17040894,WROUGHT IRON FENCE
17040896,40 FT HWY GUARD RAIL DAMAGE.
17040908,TREES
17040921,RUTS IN DITCH
17040925,TXDOT BRIDGE WALL
17040928,METAL GATE
17040931,APPROXIMATELY 80' OF WOODEN FENCELINE
17040934,GUARDRAIL SMASHED/DAMAGED
17040940,WIRE GUARDRAIL DAMAGE
17040941,CONCRETE BARRIER WALL
17040942,BARRIER/RAILLING
17040967,BARBWIRE FENCE POST SECTION
17040970,TRAILER
17040990,FIRE HYDRANT
17040993,FENCE
17040993,STOP SIGN
17040994,BRIDGE GUARDRAIL
17041001,DESTROYED MAILBOX
17041001,DESTROYED MAILBOX
17041006,FIRE HYDRANT
17041010,BRICK MAIL BOX $800
17041026,CORNER OF BUILDING
17041046,IRON GATE
17041071,BARBED WIRE FENCE AND STOCK POND DAM
17041073,2 MAILBOXES
17041075,"SIGN (UNKNOWN, UNABLE TO LOCATE)"
17041089,BACKYARD BRICK FENCE
17041153,ELECTRIC POLE
17041155,SPECIALIZED BUILDING MATERIALS
17041155,BUILDING TRELLIS
17041177,CEMENT WALL
17041208,DAMAGE TO WEIGHT SCALE
17041213,AEP WOOD POLE
17041238,FIRE HYDRANT
17041238,PEDESTRIAN CROSSWALK SIGNAL BUTTON
17041254,FOUR SAFETY CABLE SUPPORT
17041266,CENTER MEDIAN CABLE
17041287,MAILBOX
17041300,"GULF STATION ""PRAIRIE HILL STORE"""
17041321,EXTRUDER TERMINAL
17041342,BARRIER/ SHOULDER
17041354,DAMAGED HEADSTONE AND CHAIN LINK FENCE
17041356,FENCE
17041375,FENCE
17041379,FENCE
17041391,METAL CULVERT
17041404,"SIDE OF HOUSE, AIR CONDITIONING UNIT"
17041404,"FENCE, YARD,"
17041404,MISC
17041453,DAMAGE TO FRONT OF UNIT
17041459,40 FT OF LANDSCAPING AND FENCE
17041461,DAMAGE TO GARAGE DOOR
17041481,CABLE BARRIER
17041493,MINOR DAMAGE TO UTILITY POLE
17041498,(1) MAILBOX
17041498,(1) CONCRETE COLVERT
17041513,LIGHT POLE #229035
17041550,SPEED LIMIT SIGN
17041566,TREE
17041598,YIELD SIGN
17041612,STREET SIGN/STOP SIGN POLE
17041641,RIPPED HOLE AND TWISTED DUMPSTER
17041689,PRIVATE SIGN
17041689,POWER POLE
17041693,30' OF GUARDRAIL DAMAGED
17041697,METAL GUARD RAILS AND WOODEN POSTS
17041704,IRON FENCE
17041704,LIGHT POLE
17041704,TREE
17041710,PEDESTRIAN CROSSWALK POLE WITH LIGHTS
17041714,FENCE / WATER WELL
17041718,"DESTROYED WOODEN PRIVACY FENCE, 20 FEET"
17041719,METAL GUARD RAIL
17041730,BRICK MAILBOX
17041740,TRAILER
17041742,FENCE
17041742,TELEPHONE POLE
17041766,DAMAGED CRASH BARRIERS
17041768,SIGNAL LIGHT POLE
17041771,SIGNAL LIGHT POLE
17041773,SIDE-WALK
17041778,"""ROAD CLOSED"" MANUAL GATE"
17041783,MAINTENANCE BUILDING INGLESIDE IND. ISD
17041839,STREET SIGN/DIRECTION ARROW
17041864,MAILBOX
17041864,MAILBOX
17041912,"METAL WIRE FENCE, SAFETY BARRIER"
17041914,FENCE
17041915,PROPERTY FENCE
17041916,LIGHT POLE
17041917,WOODEN FENCE
17041921,ATTENUATOR
17041923,BRIDGE WALL PAINT DAMAGE
17041935,LIGHT POLE
17041946,2 MAILBOXES ON A SINGLE WOODEN POST
17041951,PRIVACY FENCE
17041951,PRIVACY FENCE
17041978,FENCE
17042018,ELETRIC BOX AND FENCE
17042023,UTILITY POLE
17042110,BENT STEEL POLE/POST
17042115,GUARDRAIL
17042116,POLE  6S 3W 260
17042146,SCUFF MARKS TO JERSEY BARRIER
17042155,HOUSE WOOD FENCE
17042169,IRON FENCE
17042182,ONCOR LIGHT POLE #4004915-3664434
17042188,STOP SIGN
17042202,MINOR DAMAGE TO UTILITY POLE.
17042211,GUARD RAIL 6FT
17042214,CURB
17042217,2015 INTERNATIONAL COACH TRAILER
17042226,CHAIN LINK FENCE
17042258,EXIT SIGN
17042266,HOUSE WALL
17042272,1015 S. WINFREE  (HOME- SW CORNER)
17042272,STAR STATUE
17042278,WATER IRRIGATION SYSTEM
17042289,DAMAGE TO NORTHWEST CORNER OF BUILDING
17042311,STOP SIGN
17042366,METAL GATE AND PILAR
17042381,BRICK MAILBOX
17042404,LIGHT POLE
17042426,TOWING ENFORCED POLE
17042435,"BOAT RAMP GATE AND FENCE DAMAGE $10,000"
17042447,EXIT SIGN
17042451,5X20 FT GATE
17042466,POLE #39822793582921
17042467,YELLOW WATER FILLED CRASH BARRIER
17042476,50' CHAIN LINK FENCE
17042494,FENCE
17042494,ROAD SIGN
17042500,STREET SIGN
17042505,ELECTRIC CART SLIGHT DAMAGE
17042509,GAS METER/GAS RISER
17042521,POLE
17042533,COW
17042561,TRAFFIC CONTROL POLE
17042645,RIGHT LANE EXIT SIGN
17042655,GUARDRAIL
17042661,ROAD SIGN
17042661,SHIPMENT OF SODAS
17042677,30 FT OF GUARDRAIL DAMAGE
17042680,STOP SIGN
17042689,SIDE OF BUILDING WALL
17042706,DAMAGED ROOF AND SHINGLES
17042706,DAMAGED TELEPHONE POLES
17042709,SMALL TREE
17042723,BARBED WIRE FENCE AND POST
17042729,TRAFFIC SIGNAL POLE & LIGHT
17042758,LIGHT POST
17042758,TREE
17042759,FENCE
17042767,LIGHT POLE AND HIGHWAY SIGNS
17042783,EXIT 595 SIGN AND MOUNTING HARDWARE DAM
17042797,CONCRETE CURB
17042808,SIGN AND CULVERT
17042833,TWO FENCES
17042845,1 CENTER CABLE POST
17042848,UTILITY POLE
17042848,BARBED WIRE FENCE
17042854,CABLE LINES
17042854,POWER POLES AND POWER LINES
17042854,RESIDENCE
17042854,CABLE LINES
17042877,WOODEN MAILBOX BROKEN AND WATER PIPING
17042881,$8000.00 CRASH CUSHION BARRELS
17042882,CABLE BARRIER SYSTEM
17042896,CONCRETE CULVERT
17042896,MAILBOX AND POST
17042896,MAILBOX AND POST
17042915,BICYCLE (HYPER SHOCKER 20 BLACK AND BLUE
17042968,CROSSWALK LIGHT POST AND LIGHT
17042973,40 FEET OF GUARDRAIL
17042973,HWY SIGNS
17042980,TRANSMISSION POWER POLE
17042989,COLLEGE STATION TRAFFIC SIGN
17042992,BRICK MAIL BOX
17042998,UNIT 1 DROVE INTO 1212-D S. FRAZIER
17042999,APPROXIMATELY 75 FEET OF FENCE / 8 TPOST
17043004,LIGHT POLE
17043012,ROD IRON FENCE
17043017,"LANDSCAPING; TREE, FLOWER POT, BUSHES"
17043023,REAR CENTER BUMPER
17043061,STUCCO EXTERIOR/INTERIOR WALL/GLASS.
17043098,FREEWAY DIVIDER
17043101,MAILBOX
17043103,DAMAGED AEP UTILITY POLE
17043136,"TRAFFIC SIGN ""JCT FM 2200"""
17043161,DAMAGED GUARDRAIL/FENCING
17043170,TELEPHONE POLE # 287706
17043172,BRIDGE OVER US 183
17043181,CHAIN LINK FENCE
17043183,BACKYARD FENCE
17043183,25MPH SPEED LIMIT SIGN
17043190,GUARDRAIL AND FENCE DAMAGED
17043191,TEMPERARY BARRIER WALL
17043194,GLASTON BOAT TX6524HV
17043221,1 RED METALLIC GATE
17043243,YELLOW FIRE HYDRANT
17043248,BROWN COW
17043255,BLACK COW 432-448-0226
17043259,GUARDRAIL
17043260,DRAINAGE CULVERT DAMAGED
17043280,BARBED WIRW FENCE
17043287,2 TREES
17043291,BICYCLE
17043292,UTILY POLE
17043312,FENCE
17043313,BRIDGE GUARDRAIL
17043321,FENCE
17043321,CALF
17043364,GUARD RAIL
17043370,CHAIN LINK FENCE
17043382,GUARDRAIL
17043398,LIGHT POLE
17043415,ONCORE POLE
17043427,LANSCAPE (TREE)
17043439,BARB WIRE FENCING AND METAL T POSTS
17043440,METAL FENCE
17043445,ELECTRIC POWER
17043445,CABLE LINES
17043480,FIRE HYDRANT
17043481,GATE & 4 GRANITE TOPS
17043497,FENCE DAMAGE
17043501,WATER METER
17043501,RETAINING WALL
17043503,CHAIN LINK FENCE
17043524,BARBED WIRE FENCE AND T POSTS
17043532,CABLE BARRIERS
17043544,STATE HIWAY SIGN
17043551,HIGHWAY GUARD RAIL
17043594,HIGH MASS LUMINAIRE
17043594,METAL FENCE
17043605,ROAD SIGN PARTIALLY STRUCK
17043616,CHAIN LINK FENCE GATE
17043656,MAIL BOX
17043657,PROPERTY FENCING AND T-POSTS
17043658,PORTABLE SHED
17043669,TRAILER
17043684,LARGE GARBAGE DUMPSTER
17043684,NO PARKING SIGN AND POLE
17043717,CONCRETE CULVERT
17043742,BRICK PILLAR DAMAGED
17043746,MAILBOX AND STONE AROUND IT WAS STRUCK
17043757,POST OFFICE EXTERIOR WALL
17043760,"FENCE, LANDSCAPING"
17043764,FENCE
17043766,LIGHT POLE
17043766,STREET LIGHT POLE #357275
17043766,"FENCING, 3IN SQUARE PIPE"
17043773,METAL FENCE ON THE FEEDER RD
17043800,GUARD RAIL
17043803,BARBED WIRE FENCE
17043805,LIGHT POLE
17043807,LIGHT POLE
17043810,RAIL ROAD TRACKS
17043812,CHAIN LINK FENCE
17043812,GRASS
17043819,ONCOR POWER LINE
17043824,BUSINESS SIGN POWER BOX
17043835,CITY OF DALLAS FIRE HYDRANT
17043884,MAILBOX
17043888,CONCRETE FLOWER BED
17043952,GUARDRAIL DAMAGED
17043962,CHAIN LINK FENCE
17043962,HOUSE
17043964,FIRE HYDRANT
17043964,FENCE
17043977,DAMAGED FENCE/STONE PILLAR
17043992,SCRATCHES ON CONCRETE DIVIDER
17044017,BRICK MAIL BOX
17044030,BRICK WALL/WINDOWS ON BUILDING
17044033,METRO PCS STORE
17044033,TEXACO SIGN
17044057,NO LEFT TURN ( TIMEFRAME)
17044057,STOP SIGN
17044085,WOODEN APARTMENT SIGN POST
17044087,FENCE
17044128,LIGHT POLL WITH LIGHT
17044130,STOP SIGN POLE
17044144,STREET SIGN
17044150,BRICK MAIL BOXES
17044187,WOODEN POLE
17044198,TWO DAMAGED LARGE BUSHES
17044198,DAMAGED BIKE LANE SIGN
17044198,DAMAGED ROCK WALL
17044198,DAMAGED BUS BENCH
17044205,STOP SIGN
17044205,WOODEN LIGHT POLE
17044214,ENTRANCE GATE
17044228,TREES
17044234,HOUSE (WALL DAMAGE)
17044241,BARRICADE
17044255,STOP SIGN ON AMES RD
17044262,CONCRETE BRIDGE PILLAR
17044280,PIPE FENCE (WELDED METAL)
17044288,WANCO MESSAGE BOARD DAMAGED
17044291,ONCOR POWER POLE AND LINE DOWN
17044319,BRICK FLOWER BED
17044320,CHAIN LINK FENCE
17044320,PHONE CABEL BOX
17044320,POWER POLE
17044331,"WOOD UTILITY POLE, 1N-3E-1121"
17044333,LIGHT POLE
17044340,LIGHT POLE STRUCK AND TURNED.
17044351,LIGHT POLE #331472
17044352,UTILITY POLE
17044365,42 FEET OF 6' WOOD FENCING
17044365,39 FEET OF 6' WOOD FENCING
17044367,DAMAGE TO GUARD RAIL
17044379,12 INCHES OF GUARD RAIL
17044406,20 FT WORTH OF ATTENUATOR
17044428,GUARDRAIL AND EXTRUDER
17044438,UNDER PASS BRIDGE
