Crash_ID,Damaged_Property
17236293,TREE
17236293,LIGHT POLE
17236389,WOODEN POWER LINE POLE
17236389,UNDERGROUND WATER LINE
17236390,POTTED PLANT IN FRONT YARD TOTAL LOSS$75
17236392,50 FEET OF GUARD RAIL
17236393,WOODEN FENCE
17236565,ELECTRICITY POLE $2000.00 VALUE
17236580,RAILROAD CROSSING WOODEN POLE BROKEN
17236650,BRICK MAILBOX $500.00
17236706,BRICK MAILBOX FIXTURE
17236712,"UTILITY POLE 26772555091, SERVICE LINES"
17236747,EXIT SIGN
17236761,12' DAMAGED CHAIN LINK FENCE 5' TALL
17236761,STOP SIGN
17237016,TRAFFIC SIGN POST
17237038,FIRE HYDRANT 260639
17237053,GAURDRAIL
17237092,20 FEET OF CHAIN-LINKED FENCE
17237121,DALLAS ISD FLASHING SCHOOL ZONE SIGN
17237155,BRICK ENTRY GATE TO SUBDIVISION  $5000.
17237178,LAWN
17237178,CONCRETE CURB
17237178,FRONT LAWN/SPRINKLER
17237191,BARRIER/MINOR DAMAGE/SCRAPE
17237193,UTILITY POLE
17237200,FENCE
17237211,GUARD RAIL
17237224,BLUE CONCRETE POLE
17237229,MINIMAL DAMAGE TO STATE HIGHWAY SIGN
17237237,FENCES
17237248,TELEPHONE POLE
17237251,ONCOR ELECTRIC POLE
17237275,TREE
17237305,ATTENUATOR PUSHED IN ABOUT 7 FT
17237407,ONCOR POWER POLE
17237430,AT&T CABLE BOX #17790KF
17237435,ROAD SIGNS
17237465,BRICK WALL
17237485,LIGHT POLE AND LIGHT
17237485,MAILBOX
17237489,NO TRACTOR TRAILER SIGN
17237490,TELEPHONE POLE DAMAGED
17237559,GAURDRAIL
17237704,GUARDRAIL DAMAGE
17237708,LANDSCAPE SHEETING
17237708,WOODEN LED LIGHT POLE
17237731,FIRE HYDRANT
17237818,ELECTRIC TRANSFORMER AND POWER LINE
17237821,TRAFFIC CONTROL LIGHT
17237841,CLEAR WATER ESTATES ENTRANCE WALL
17237841,STOP SIGN
17237880,CONCRETE WALL
17237909,DAMAGED HOUSE WEST SIDE
17237979,CABLE BARRIER
17237979,ROAD SIGN
17238024,HEDGE
17238064,"DAMAGE TO CHAINLINK FENCE, PLANTS"
17238139,MANHOLE COVER.
17238169,FENCE - 832-784-1944
17238197,CURB DAMAGE
17238200,BLACK FENCE AND PARTIAL HOUSE BARRIERS
17238212,GUARD RAIL DAMAGED
17238224,WIRE FENCE
17238224,WIRE FENCE
17238227,SPRINKLER VALVE
17238227,CONCRETE MAILBOX
17238231,IMPACT ATTENUATOR
17238242,25 FT OF CABLE BARRIER
17238248,GUARD RAIL DAMAGE
17238269,TEMPORARY HIGHWAY EXIT SIGN
17238289,METAL FENCE
17238313,STREET SIGN
17238313,GRASS/LANDSCAPE
17238319,EXTERIOR WALL DAMAGED
17238319,DAMAGE TO CONCRETE CURB
17238324,FENCING/CAR PORT
17238354,TWO LIGHT POLES
17238356,CABLE BARRIER AND POSTS
17238368,LIGHT POLE #H100042
17238383,YIELD SIGN
17238385,20 FT METAL GUARD RAILING
17238454,GUARDRAIL
17238466,80 FEET CHAIN LINK FENCE /5 METAL POLES
17238477,BUILDING
17238594,METAL LIGHT POLE
17238597,IRON FENCE
17238669,STREET LIGHT POLE
17238695,LIGHT POLE
17238698,CHAIN LINK AND ROCK FENCE
17238716,GLASS DOOR/WALL
17238718,5 FEET ROCKWALL/WROUGHT IRON
17238748,SCRATCHES ON WALL
17238750,GUARDRAIL
17238785,EAST WINDOW & WALL APT #1117
17238794,WALL
17238878,APPROX 75 YARDS OF CABLE BARRIER
17238886,IRON FENCE
17238886,ELECTRIC POLE
17238908,4 X METAL POSTS -CENTER MEDIAN BARRIER
17238939,BRICK FENCE
17238958,UNIVEGA BICYCLE $2000
17238975,CONCRETE BARRIER
17238979,MAILBOX
17238984,SIGNAL LIGHT SINGLE POD
17238990,ELK LODGE SIGN
17238991,TRAFFIC SIGNAL POLE
17238995,WOOD UTILITY POLE
17239041,MAILBOX
17239041,MAILBOX
17239042,GREEN OAKS EXIT SIGN ON IH30 WB
17239115,ELEC POLE ON SW CORNER OF INTERSECTION
17239134,MEDIAN CABLE
17239152,EXIT SIGN
17239155,STREET LIGHT POLE
17239160,FENCE
17239160,ELECTRICITY POLE
17239247,CABLE BARRIER
17239311,FENCE
17239334,BRICK WALL OF THE BUILDING # 8
17239354,CRASH DELINEATOR
17239366,STREET LIGHT
17239367,EXIT GATE ENGLISH OAKS APARTMENT
17239411,FIRE HYDRANT
17239422,BARRIER
17239446,2 TREES AND BRICK WALL
17239498,TRAFFIC SIGNAL POLE
17239503,PAD MOUNTED TRANSFORMER BOX
17239527,2 SMALL TREES
17239539,IH 610 BRIDGE
17239594,TREE
17239619,METAL GUARD RAIL
17239654,CHAIN LINK FENCE
17239746,DAMAGED TREE
17239746,DAMAGED SIGN
17239758,CHAIN LINK FENCE W/POLE
17239760,BRICK WALL/FENCE
17239765,RESIDENTIAL STRUCTURE
17239765,GUARD RAIL
17239773,SIGNAL LIGHT POLE
17239777,"""EVERYBODYS FASHIONS"" GIFT SHOP"
17239785,5 STRAND BARB WIRE FENCE AND A PAD LOCK
17239799,DAMAGED FIRE HYDRANT
17239805,BRICK WALL
17239805,STOP SIGN
17239844,FENCE AND CONSTRUCTION EQUIPMENT
17239845,YIELD SIGN AT 1401 MITCHELL BLVD
17239863,500 FEET CABLE BARRIER
17239877,FENCE AND YARD DAMAGE
17239882,BRICK LANDSCAPING 817-230-9945
17239930,STONE FENCE
17239934,HORSE
17239978,DO NOT ENTER SIGN
17239978,STOP SIGN
17240005,GUARD RAIL
17240025,FENCE
17240031,FIBEROPTIC POLE
17240048,GRASS
17240048,TREE
17240048,CEMENT RETAINING WALL
17240061,GE GAS DRYER  MODEL# DCVH680GJOMS
17240067,TREE
17240112,BROKEN GLASS DOORS
17240127,TWO UTILITY POLES
17240149,HORSE
17240172,2 STREET SIGNS
17240173,CROSS WALK SIGNAL POLE
17240173,TRAFFIC SIGNAL POLE
17240182,POWER POLE
17240182,20-FEET CHAIN-LINKED FENCE
17240240,LIGHT POLE
17240265,TELEPHONE POLE AND CABLE WIRE
17240265,TREE LIMB KNOCKED OFF TREE
17240340,ROCK WALL AND WINDOW DAMAGED
17240353,WOODEN FENCE
17240353,GAS METER
17240361,WOODEN UTILITY POLE (POLE: H53685)
17240379,BARBED WIRE FENCE WITH POSTS
17240390,TREE AT THE LA PLAZA APARTMENTS
17240455,CONCRETE BARRIER
17240458,RIGHT ARROW WARNING/DIRECTIONAL SIGN
17240476,10 FEET ATTENUATOR
17240490,RESIDENTIAL FENCE
17240503,BRICK MAILBOX
17240517,BRICK MAILBOX
17240528,MAILBOX
17240552,APARTMENT WALL
17240648,MAILBOX
17240648,UTILITY POLE
17240663,CRASH ATTENUATOR
17240686,WATER BARRIES
17240698,20' STEEL GUARDRAIL
17240706,GUARDRAIL
17240765,FENCING ALONG SIDEWALK UNDER OVERPASS
17240771,UNIT 1 CRASHED INTO A MAILBOX
17240780,BARBWIRE FENCE
17240783,STOP SIGN
17240784,POLE
17240792,"UNIT 1 HIT BRIDGE SUPPORT COLUMN,UNK DAM"
17240796,EXIT CONTROL ARM
17240942,GATE ARM
17240946,COW
17240957,SIGNAL LIGHT SOUTHWEST OF SW45TH/COULTER
